Shipping_ID,Customer_ID,Country,State,City,Shipping_Address,Postal_Code
59,bc4a9f54-7f93-412d-aee0-41babde9f7c7,Slovakia (Slovak Republic),Virginia,Simpsonbury,"42795 Arthur Islands Apt. 820
South Michaelport, RI 55377",81958
60,c29fe714-1b30-433a-83f5-05fad6a10084,Haiti,Montana,East Brittany,"40759 Watkins Plains Apt. 682
East Melissa, OH 74338",52577
61,c340d489-e79d-4bdd-94e3-15dbcc244560,Oman,Missouri,West Kelseyberg,"7207 Clayton Union Suite 563
South Thomaston, NM 81088",98589
62,9b1329e0-f890-497e-94fc-b8b3be942972,Fiji,West Virginia,Lake Ericaland,"4632 April Plains
Clarkborough, PA 32789",22876
63,90f45551-bc3d-4d24-a8eb-73c18443ec47,Afghanistan,Vermont,New Kimberly,"006 Gonzalez Green Apt. 564
Roberttown, ME 99179",89170
64,7eed9caa-025a-4887-a331-21a3b5fef946,Netherlands,Vermont,Grayside,"USCGC Roth
FPO AP 08030",38797
65,6241e36c-1a88-4971-bed6-25149b466c04,Serbia,Alaska,South Kelly,"4689 Amy Square Suite 157
Townsendfort, NC 00640",73073
66,051052d5-0872-4281-bb36-9ef4bf87c6f2,Aruba,South Carolina,Lake Cathyland,"20413 Underwood Place
Rodgersshire, IN 16427",63249
67,5668c56e-3af8-4677-b307-aaf09532287b,Luxembourg,Tennessee,West Tyler,"PSC 0925, Box 8765
APO AP 82932",71894
68,fc2496e0-d97f-437c-bb6b-8526930fc174,Puerto Rico,Florida,North Heidibury,"1512 Mullins Flats
West Henrytown, WA 10852",84406
69,d09e95b6-2dd2-4908-9689-96a65127b3d8,Andorra,Colorado,New Rogerbury,"5903 Ashley Mount
Michaelmouth, PW 98130",53321
70,321da85c-715c-4851-a543-c93cc2e3eb23,Lithuania,Delaware,Lake Tanner,"4362 Holmes Plains Apt. 465
West Andrea, VT 61417",98044
71,2b705e74-58c2-4247-998e-051fb2cfe4c8,Tanzania,Massachusetts,East Michael,"6921 Huerta Inlet
North Emily, NH 51583",32935
72,5ac72f0c-e995-4d05-8e6b-ec75d97f24fa,Niue,Alaska,Port Tanyashire,"0673 James Meadows
West Jeanland, KS 05746",40100
73,8a949643-033a-471e-8ff8-db1aad104086,Germany,New Hampshire,North James,"87845 Miller Island
New Mario, VI 24070",89792
74,29223517-3ed7-435b-a229-a76f1052e4d7,Cambodia,Pennsylvania,Melissamouth,"09460 Brenda Centers Suite 638
South Gabriel, WI 17296",54307
75,13248508-6251-479a-955e-5cb907f94eb4,Jordan,New Mexico,Lake Ruth,"671 Blackwell Groves Apt. 944
Taylorchester, PW 80645",22435
76,168279f3-7d94-4578-9bd6-8ec302e2c6e4,British Virgin Islands,Nebraska,East Robert,"70284 Mcpherson Avenue
Vasquezmouth, GU 15788",38193
77,7c873d7f-d804-4f6c-96e6-a806be8a2d3c,Serbia,Connecticut,Brandymouth,"73060 Dana Tunnel Suite 354
West Paula, NM 36379",58355
78,f5c7f46a-96ef-44cd-97e3-9318163dcbe0,Guinea,Montana,Stevensburgh,"302 Bailey Overpass Suite 527
North Shanetown, AR 41929",45525
79,e248718b-8a64-4927-bb19-92878c129755,Montserrat,Virginia,New Tylermouth,"19837 Brenda Plains Apt. 222
Schneiderport, KS 48135",92037
80,b14c26dd-13e8-418a-83d9-632e82f0effd,Aruba,California,Leeview,"531 Kimberly Wells Suite 630
Mariashire, OK 80640",66406
81,04e01df9-1d9a-41fa-9a3a-21d3c70fde06,Belarus,Washington,Matthewberg,"Unit 0469 Box 4159
DPO AA 72234",52159
82,1c9e0e75-18de-4887-80de-661b74957fb3,Mongolia,Connecticut,New Jay,"73978 Jesse Spur Suite 570
Burkeport, HI 08109",43675
83,7ee030f0-3a51-4a40-aaf5-f8d08146b111,Belarus,New York,Whiteburgh,"1117 Anthony Forge
Lake Kimville, OR 68909",11118
84,a6b4443f-fa34-49f7-843e-c76645810d71,El Salvador,New Mexico,Johntown,"15806 Steven Neck
Webbville, ID 26256",39725
85,0967c5d2-6a2e-4f6d-8cd0-ebce2f2bdefe,Luxembourg,Georgia,Lake Carolfurt,"8563 Charles Forges Apt. 550
North Daltonberg, PR 04119",38560
86,7796b3a9-c769-4f9f-a650-6d11e2496f0e,Hong Kong,Delaware,West Spencerberg,"1717 Paul Center Apt. 511
Youngbury, SC 81098",22431
87,4ed72c96-02f7-45d0-ae0b-5be3faf1e5ac,Bolivia,South Carolina,South Caitlin,"934 Brittany Stravenue
Joshuatown, ND 62878",45193
88,a68352d7-5a5a-4284-a1ce-c36d8607302f,Dominican Republic,California,Jacksonport,"4806 Bowman Ports Suite 945
Lake Kellyhaven, NJ 93730",94504
89,a62611fd-7e3b-4105-baed-a6c7cb487672,Saint Vincent and the Grenadines,Alabama,Browntown,"3505 Morgan Groves
Lake Carolinechester, MT 85986",60395
90,c50b8bb2-80fd-48ae-a373-ee150019dbc5,Tuvalu,New Jersey,Victorview,"22358 Victoria Radial Suite 037
Millerview, OH 91813",47280
91,1b41eccb-1b0c-4afd-a11a-712ec81de7d6,Malaysia,Kentucky,New Miguelshire,"44411 Medina Islands
Richardton, CO 31835",93564
92,f92860ad-8f39-4fd9-8984-7c66b38d2a3e,North Macedonia,Indiana,Goodside,"102 Williams Brooks
East Scottstad, VA 54185",74227
93,ef335d2a-f9fe-4819-b699-42b5d4cd060c,Portugal,Missouri,South Josephfurt,"437 Christopher Vista Suite 705
Whitneystad, CT 75217",20741
94,db91ad1d-e70e-425a-ad67-8ecbaef6639f,Slovakia (Slovak Republic),Idaho,Colefurt,"PSC 2583, Box 7257
APO AP 72679",62052
95,b9680fe4-1f64-4487-9dde-56ad5f0b4fd0,Kuwait,Rhode Island,West Renee,"PSC 1072, Box 8478
APO AP 12282",59355
96,731dbef8-e4d5-4eb5-8345-f75d5ccc9457,Grenada,Kentucky,Lake Linda,"205 Brooks Branch
North Johnmouth, KY 71815",62464
97,d535b4af-76db-460e-a22e-f1137f169c5d,United States Virgin Islands,Iowa,South Robert,"063 Michael Plains
Port Regina, CA 58526",39513
98,2ef4a6b1-b5e5-4fc8-b289-a9e590165863,United States of America,Ohio,Sullivanberg,"742 Jackson Estate Suite 736
New Arthurmouth, GA 47171",62456
99,18704394-d7e4-4e23-85b4-3390ca5d1710,Saint Pierre and Miquelon,Maine,Port Codyport,"838 Williams Landing
Vargasburgh, GA 17338",8223
100,74a22756-611c-4774-b8c2-1a2dfb3feb01,Estonia,Minnesota,South Wendyburgh,"8878 Lynch Rapid
Emilyville, MA 79361",62907
101,876e95aa-062a-4812-b285-e1a278240bde,Slovenia,Ohio,Jeffreyland,"3608 Matthew Turnpike
Port Taylor, AL 01320",40711
102,0c10bff4-e805-4078-87a2-f8802165f89a,Germany,Kansas,Lake Elizabethview,"443 Stevens Alley
Danielmouth, HI 31955",58013
103,a22a16f3-f60c-4cbd-ae2a-4d65d3e7856a,Faroe Islands,Colorado,Shahside,"266 Gonzales Fort Apt. 646
Lake Heather, RI 75510",36230
104,e36529e6-67f6-4e91-8431-60694685a3d7,Antigua and Barbuda,Texas,Lake Nathanhaven,"40781 Davis Pike Suite 769
North Toddchester, UT 31802",40122
105,032e5cc7-84c8-4693-a902-077902c811b9,Greenland,Kentucky,Walterbury,"9610 David Forges
Lake Louismouth, HI 67523",72368
106,f63526e2-d2e7-470c-ba5c-7f7d0115ef3a,Myanmar,New Jersey,New Thomas,"06052 Ashley Brooks Suite 055
West Patrick, MS 15592",22643
107,e13af354-ecc5-4062-b0ed-c331dbf781e4,Chad,Maryland,Lake Shannonport,"158 Cheryl Parks
South Sarah, CT 34032",26840
108,6320730f-e631-4aea-80a4-d86d41a47c11,Saint Pierre and Miquelon,New Jersey,Debbieland,"838 Wall Hollow Apt. 446
Hintonside, MA 18158",82111
109,cb88b521-53dc-4455-9114-6569d880f876,Algeria,Oregon,Lake Adrian,"066 Green Fort Suite 309
Rachelside, MD 26627",46402
110,41296c35-8d3d-4b4e-9136-5de2b2c8c536,Cook Islands,West Virginia,Lake Leslie,"92646 Brandon Cove Apt. 508
North Morganshire, PA 43763",95198
111,4efca02a-75cf-4129-a403-ba7e9c027274,Mayotte,North Carolina,North Katelyn,"177 Garcia Road Suite 471
Chenton, HI 08272",71952
112,4bf0be7e-033a-4a24-b557-ede9469c2db6,Suriname,California,Bennettmouth,"3390 Vazquez Hill
Hammondstad, AS 47699",42917
113,40022a57-2226-473b-9161-e12187263791,Netherlands,Michigan,Lake Laura,"90992 Wilson Cliff Suite 529
North Kristin, TX 09159",7321
114,ad742261-5858-4ee2-a401-c895487542e6,Germany,South Carolina,East Pamelaside,"93696 Lawson Valleys
Sarahside, VT 50893",23874
115,16d59819-fee0-40f1-8725-3c7ac6d276e1,Latvia,Montana,Wolfhaven,"424 Bryan Inlet
New Christy, MP 86014",49847
116,dc2bd564-6a1d-455a-b75a-4adfa6dd8ebb,Oman,South Carolina,South Daltonburgh,"58507 Carpenter Lake
East Raymondburgh, RI 61182",36000
117,37102168-6a28-4555-b58f-c0ef241088d9,Somalia,Nevada,East Loriview,"00659 Lester Roads
Sheppardport, KS 68161",55241
118,bc1d3c89-ec7d-40a8-b9ff-bf0fddcb7e2d,Canada,Texas,Terristad,"29164 Harris Well Suite 899
South Ericside, WY 66073",23973
119,05dec35d-6754-4582-ade5-327299f32c83,Greenland,New Hampshire,East Elizabethmouth,"5495 Tiffany Square
South Morgan, WV 01163",99302
120,e7b6f6d8-068f-44c2-a38d-cf577b6b0c57,South Africa,New Jersey,North Heathermouth,"0355 Thomas Ramp Apt. 040
Longton, MI 01054",62187
121,c2f0da10-6ad3-4924-b64d-8c2419fe5f60,Niger,New York,South Christopherland,"42047 Cole Alley Apt. 405
North Dianashire, AL 23263",44276
122,263ebf90-46b5-4453-992b-a17f993ba45b,Cayman Islands,Massachusetts,South Johnstad,"342 Jo Greens
North Williambury, ND 38428",73330
123,97ff2078-dccc-4314-b37e-fdbc5b1b6bbd,Seychelles,Alabama,Timothyburgh,"554 Jeremy Pike
Allenberg, CT 11427",7953
124,126071f0-6ecb-4ecf-a6a9-29ef0df58275,Jersey,New Hampshire,Fisherport,"6049 Shaw Ranch
Pettyview, VT 11992",17557
125,2541a355-b4eb-4ae9-ae6b-de65cef65274,Finland,Maryland,New Mitchell,"03124 Long Locks
South Martin, ND 89721",68142
126,feeb58ca-f5e4-45a0-8c11-66fd772459d5,South Africa,Kansas,West Richard,"91580 Roberts Alley
New Marcusport, MA 32752",75236
127,43cec906-6f64-468f-ac60-26913c38ec8e,Barbados,North Dakota,East Monicafort,"4192 Brown Rapids Apt. 807
Jonesview, NV 18603",79370
128,02d8cddb-96cd-4e71-8b58-dbc629ec1799,Antigua and Barbuda,New Mexico,Browntown,"USCGC Wilson
FPO AP 95123",1612
129,6b8293ca-8dcf-4883-83dd-263a9bf38003,Morocco,Oklahoma,Melaniechester,"49274 Robert Street Suite 151
West Ashleyshire, OH 91332",68122
130,3fe1b39e-ceb3-4fe5-b836-41b746999830,Jersey,Kentucky,South Jennifermouth,"9705 Camacho Mall
Port Raymond, ME 21353",99057
131,06811402-b75f-445d-99b3-e828cb4e8fda,South Africa,Wyoming,Robertfurt,"743 Grant Center Suite 046
East Brittanyburgh, NC 57094",84260
132,fa54a2fc-0720-49b2-8b38-ec3d573968b2,Turkey,Minnesota,Davishaven,"2670 Richards Rapid
Johnsonchester, LA 30589",46503
133,7d458173-5eb1-429b-aed6-dcb5528c9dfa,Tuvalu,Arkansas,Sheltonmouth,"44714 Ramirez Greens
New Allison, WY 97530",77153
134,d002f6a2-14cb-4f61-ac39-1f8944a95953,United Arab Emirates,Vermont,East Shane,"325 Hunt Passage
East Karen, KS 75547",98969
135,b0892a88-cfdf-41bb-ac1a-52426e146bb3,North Macedonia,North Dakota,South Lori,"65158 Bradford Flats
Faulknerport, ID 77964",2605
136,72a10333-06ac-48fd-a19b-a0160185fc39,Luxembourg,Michigan,Richardshire,"70387 George Mills
Johnstad, AS 32224",3740
137,1ac40202-a163-498b-8b4f-063f0f84ff29,Seychelles,Hawaii,Barnettfurt,"0416 Nelson Drive Suite 205
New Dianaton, NJ 17819",99814
138,44304013-3b7a-429f-bb0a-ce1ea4fad1be,Bulgaria,Wisconsin,Reynoldsport,"9033 Wendy Dale Suite 203
Carpentermouth, CA 25515",75872
139,0e3aed20-c3dc-4e3f-8612-3fc1ce1b3f4b,Micronesia,Idaho,Stanleyton,"91879 Anne Oval
Michaelburgh, PA 81929",31698
140,e8cfbc82-b5d9-4625-be8a-f422c63abd9d,Jamaica,Rhode Island,Stevensshire,"070 Mendez Trail Suite 191
Kimberlymouth, NM 88812",56685
141,c308ef44-7b7f-48d0-9cff-057404a35602,Germany,Alaska,Maryshire,"7342 Williams Parkways
Tanyatown, RI 34819",93678
142,e98ffed6-8ff2-47ec-8607-f916503f8058,Cocos (Keeling) Islands,Iowa,Steelefort,"920 King Forks
South Joshuaborough, DE 40586",84033
143,4ff66dd7-390f-4ce5-ac1a-04ba9ed4b1e0,Guadeloupe,Wisconsin,New Jennifer,"55451 Jonathan Harbors Suite 700
Lake Jeffreyton, MT 13652",82155
144,2eb60243-51dd-4c97-b4de-d6df63882ccd,France,Oregon,South Anthonychester,"25062 Lori Haven
Hammondfurt, AL 05715",8481
145,fb0f2e7e-c2c6-47e9-a1a4-5c1083479d4a,Romania,Hawaii,Lake Melanie,"1843 Michelle Flat Suite 539
Carlsonmouth, MO 04375",58997
146,33506b6a-fe8a-4564-995c-43377b09a662,Falkland Islands (Malvinas),Mississippi,Stevenmouth,"Unit 7738 Box 9733
DPO AE 81094",7553
147,0de34f84-523b-424e-b0d3-48defeda41d1,Mauritius,Minnesota,Simmonsmouth,"30714 Black Port
Port Mandy, KS 02494",53791
148,af3634ed-df1f-44fb-9509-99a9d276b606,Spain,Washington,New Gregory,"084 Lam Drive Apt. 301
Garciatown, AK 26168",11914
149,8041e46f-5cc7-4c5a-bbdd-37f3c46b0fb7,Paraguay,Vermont,Lake Annette,"0359 Durham Hills Suite 539
New Kimberly, TX 81847",71793
150,5e6f57dc-ea71-4bcd-ad90-8d807cb39596,Namibia,Alabama,Danielleport,"82090 Bailey Passage Apt. 376
Lisamouth, AK 92233",21865
151,f79e2fac-9904-4050-be3d-904d6b9db562,Brazil,Louisiana,Andrewtown,"PSC 1681, Box 1930
APO AE 13639",86744
152,befc22d6-c6c2-49e3-9cb2-5942cd898d83,Dominica,Hawaii,New Deannaburgh,"2242 Mercer View
West Dustinview, SD 91681",89376
153,8829d9b7-cff3-4fd3-b230-7109fca4265f,Belarus,Idaho,South Janice,"PSC 7436, Box 5096
APO AP 50596",15274
154,21c6a38b-4ff8-46e3-9f96-c9471a1c55bc,Sierra Leone,Tennessee,Lake Lisastad,"478 Martinez Drives Apt. 165
Bucktown, GU 73399",11164
155,904a5ec7-e9ca-44a8-b16c-e55ca362ca98,Trinidad and Tobago,Oregon,Parksfurt,"099 Woods Meadows Suite 409
South Julie, LA 67824",83910
156,a307cabd-3231-4676-9fa4-1e1908f16486,Angola,Michigan,Lake Markmouth,"59726 Mary Union
Williamsland, RI 83747",20934
157,a6ed7fc3-f4d5-4308-9899-c7c9149e9b0c,Singapore,Maine,Port Brandon,"076 Reynolds Grove Suite 331
Weberfort, NJ 43606",25494
158,eac79142-0484-4782-9767-6697b7ea6f4e,Kenya,Iowa,South Mariahland,"2161 Robinson Forest
Traciborough, KS 80846",95349
159,fd4fae21-0582-4eb7-9418-92e348b90f5c,North Macedonia,Michigan,Port Jeremyland,"Unit 6888 Box 9017
DPO AE 32717",32599
160,8ffa2a82-a51c-4755-9867-d3d665812afe,Macao,Colorado,Frankmouth,"4237 Nguyen Curve Suite 990
Michaelstad, LA 34586",93971
161,aa1a84f8-bc2d-42d3-9167-95b905ecb9ca,Hong Kong,South Dakota,Elliottmouth,"5462 Christopher Mountain Apt. 263
Scotttown, WI 31785",20077
162,349f9fef-6a78-4a3d-b55f-50a10610e1ea,Australia,Oklahoma,Simsstad,"2322 Gibson Vista
Lake Danielview, MI 40240",54258
163,97a03e11-7ff1-497c-b53c-b8ae76f2e240,Venezuela,Alabama,New Johnton,"19067 Julie Falls
Chadmouth, SD 97305",66372
164,bae15791-6a21-4bef-bdb3-dd8fdaad62b5,Sao Tome and Principe,Utah,Lake Davidfort,"Unit 9014 Box 4101
DPO AP 02202",5719
165,874209f6-4beb-413f-88ec-729e4747fed8,Jordan,Nevada,Mcculloughmouth,"PSC 0759, Box 1162
APO AE 63971",51969
166,69d86726-483a-4325-bbf9-1f7728a52241,Venezuela,Oklahoma,West Pamela,"4094 Silva Walks
East Williamshire, OH 88539",87071
167,1f22759d-b579-4bc2-937b-20e2c28eefee,Libyan Arab Jamahiriya,Iowa,Carolinechester,"4328 Randy Branch Apt. 111
Velezmouth, SC 38608",56418
168,3a6ae33c-1c6f-4a6a-a5d5-320ac25c5301,Lithuania,Colorado,North Michaelchester,"8468 Poole Dam
Sandramouth, IL 62344",76246
169,aecf1789-4d41-4d27-9be0-7e96ca4f8824,Svalbard & Jan Mayen Islands,Texas,Adamsville,"243 Mcknight Drives Suite 911
Rachaelhaven, PA 89946",47433
170,23a14d5d-cbda-4770-a657-5878a8466791,United Kingdom,Georgia,Johnsonshire,"USNV Brown
FPO AE 69213",3943
171,fc1c0fbc-9c6a-4b40-b846-2696db1d2205,New Zealand,North Carolina,Jeanettestad,"USCGC Mcconnell
FPO AP 84390",4272
172,a1599a7f-3df5-4a8d-8806-a51760ecdb2e,French Polynesia,Delaware,Evansbury,"Unit 2400 Box 7544
DPO AA 08422",77275
173,95bf0dc5-c289-4f37-8b28-9992939ee535,Jamaica,Maine,Georgeton,"0457 Patrick Station Apt. 026
West Zachary, NJ 39894",81372
174,31af90c4-3950-48ca-8a08-5141eef98cce,Kyrgyz Republic,Delaware,North Danielleton,"PSC 3763, Box 5671
APO AP 13476",40654
175,7ecd584d-2bcf-47f5-9e29-642006a09611,Rwanda,North Dakota,West Kathyland,"9332 Walker Parkways
West Brittney, AZ 83832",41602
176,81b58143-f38d-4480-8127-fe48e8f55e70,Martinique,West Virginia,South Katieton,"4141 Michael Tunnel Suite 038
Robinfurt, AK 34804",21288
177,b75b9252-6814-4afe-8155-9d7180698dfc,Uruguay,Connecticut,East Allison,"781 David Plains Apt. 604
New Amanda, TX 80210",25346
178,2dcbda41-7c87-4692-b054-ccd3748ff989,Lebanon,Maine,Lake Wesleyberg,"328 Daniel Creek Apt. 702
Pagechester, NM 69148",35817
